pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,812.16
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,819.14
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,825.08
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,827.19
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,823.57
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,816.31
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,809.86
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,812.16
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,819.14
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,825.08
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,827.19
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,823.57
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,816.31
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,809.86
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,812.16
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,819.14
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,825.08
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,827.19
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,823.57
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,816.31
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,809.86
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,812.16
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,819.14
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,825.08
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,827.19
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,823.57
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,816.31
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,809.86
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,812.16
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,819.14
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,825.08
